Date,PMID,Title,Abstract,PoI Re,DoI Rel,Is Systematic,Study Type,Study Outcome,PoI List,DoI List,Score
2023-11-14,36912812,Effect of Accessible Nonmydriatic Retinal Imaging on Diabetic Retinopathy Surveillance Rates.,"Purpose: To evaluate the impact on surveillance rates for diabetic retinopathy (DR) by providing nonmydriatic retinal imaging as part of comprehensive diabetes care at no cost to patients or insurers. Methods: A retrospective comparative cohort study was designed. Patients were imaged from April 1, 2016 to March 31, 2017 at a tertiary diabetes-specific academic medical center. Retinal imaging was provided without additional cost beginning October 16, 2016. Images were evaluated for DR and diabetic macular edema using standard protocol at a centralized reading center. Diabetes surveillance rates before and after no-cost imaging were compared. Results: A total of 759 and 2,080 patients respectively were imaged before and after offering no-cost retinal imaging. The difference represents a 274% increase in the number of patients screened. Furthermore, there was a 292% and 261% increase in the number of eyes with mild DR and referable DR, respectively. In the comparative 6-month period, 92 additional cases of proliferative DR were identified, estimated to prevent 6.7 cases of severe visual loss with annual cost savings of $180,230 (estimated yearly cost of severe vision loss per person: $26,900). In patients with referable DR, self-awareness was low, with no significant difference in the before and after groups (39.4% vs. 43.8%, p = 0.3725). Conclusions: Providing retinal imaging as part of comprehensive diabetes care substantially increased the number of patients identified by nearly threefold. The data suggest that the removal of out-of-pocket costs substantially increased patient surveillance rates, which may translate to improved long-term patient outcomes.",no,yes,no,human non-RCT,"effectiveness, diagnostic",,retinopathy,4
2023-11-14,36928128,Racial Disparities in Barriers to Care for Patients With Diabetic Retinopathy in a Nationwide Cohort.,"To ascertain specific barriers of care among patients with diabetic retinopathy (DR) from different racial/ethnic groups.In this cross-sectional study, we included adult participants in the National Institutes of Health All of Us Research Program with DR who answered questions in the Healthcare Access & Utilization survey and Social Determinants of Health (SDoH) survey. Logistic regression was used to study the association between barriers to care and race/ethnicity.Our cohort included 885 DR patients who answered the Healthcare Access & Utilization survey and 385 DR patients who responded to the SDoH survey. After adjusting for confounders, Hispanic individuals were more likely than non-Hispanic White individuals to report delaying getting medical care due to not being able to get child care (odds ratio [OR] = 6.57 [95% confidence interval {CI}, 1.67-27.8]). Furthermore, compared to non-Hispanic White individuals, non-Hispanic Black individuals were significantly more likely to report being treated with less respect (OR = 2.62 [95% CI, 1.15-5.80]), treated with less courtesy (OR = 2.51 [95% CI, 1.01-5.92]), and receive poorer service than other people (OR = 2.85 [95% CI, 1.25-6.34]) when they go to a doctor's office or other healthcare provider.We found that Hispanic and non-Hispanic Black individuals with DR reported greater delays/barriers to care compared to non-Hispanic White individuals even after controlling for individualized socioeconomic factors.This study highlights the importance of taking steps to promote health equity, such as increasing access to child care resources and reducing implicit bias among eye care providers, to increase access to care and prevent vision loss from DR.",no,yes,no,human non-RCT,effectiveness,,retinopathy,4
2023-11-14,37056216,Current state of dietetic services for inflammatory bowel disease patients in New Zealand: an observational study.,"Nutritional therapies for inflammatory bowel disease are increasingly recommended. This study aimed to gain insight from patients, dietitians and gastroenterologists into inflammatory bowel disease dietetic care in New Zealand.Mixed-methods surveys were developed and then distributed online to patients with inflammatory bowel disease and dietitians and gastroenterologists that care for patients with inflammatory bowel disease. Quantitative survey data were analysed using nonparametric statistical tests. Qualitative survey data were analysed using thematic analysis.Responses were received from 406 inflammatory bowel disease patients, 79 dietitians and 40 gastroenterologists. Half of the patients (52%) had seen a dietitian for nutrition advice. Patients more likely to have seen a dietitian were/had: Crohn's disease (p = 0.001), previous bowel surgery (p < 0.001), younger (p < 0.001) or receiving biologic therapy (p = 0.005). Two-thirds (66%) of patients found the dietitian advice at least moderately useful. A common theme from patient comments was that dietitians needed better knowledge of inflammatory bowel disease. Almost all (97%) gastroenterologists reported that their inflammatory bowel disease patients ask about nutrition; 57% reported that there were inadequate dietitians to meet patient needs. Over 50% of dietitians saw inflammatory bowel disease patients infrequently and 39% were not confident that their knowledge of the nutritional management of inflammatory bowel disease was current. Dietitians desired greater links with the inflammatory bowel disease multidisciplinary team.Current inflammatory bowel disease dietetic services in New Zealand are inadequate. Standardised care, increased resourcing, dietitian training in inflammatory bowel disease, and stronger links with the multidisciplinary team are suggested to improve services.",no,yes,no,human non-RCT,effectiveness,,"crohn's disease, ulcerative colitis",4
2023-11-14,37422192,Hyperreflective Material Boundary Remodeling in Neovascular Age-Related Macular Degeneration: A Post Hoc Analysis of the AVENUE Trial.,"To describe the spatial and temporal characteristics of hyperreflective material (HRM) on spectral-domain OCT (SD-OCT) in neovascular age-related macular degeneration (nAMD) during antiangiogenic treatment and explore associations with best-corrected visual acuity (BCVA) and macular atrophy (MA).Retrospective regrading of SD-OCT-images from the multicenter, randomized controlled AVENUE trial (NCT02484690, conducted from August 2015 to September 2017).Treatment-naive nAMD patients enrolled from 50 sites in the US.Retrospective regrading and secondary analysis.Spectral-domain OCT images from 207 study eyes that fit criteria for the present analysis were graded for HRM features, its evolution, and associated hypertransmission into choroid (HTC), a proxy for MA. The appearance of a well-defined hyperreflective inner boundary that separated persistent HRM from the neurosensory retina continuous with the adjacent retinal pigment epithelium layer was defined as hyperreflective material boundary remodeling (HRM-BR). Patterns of HRM composition/evolution were defined as follows: (1) no subretinal HRM at baseline, (2) fully resolved, (3) persistent with complete HRM-BR, or (4) partial/absent HRM-BR. Associations of HRM patterns with BCVA and HTC were analyzed. Predictive factors for complete HRM-BR were explored.Of 207 included eyes, subretinal HRM was present in 159 (76.8%) at baseline and persisted until month 9 in 118 (57.0%) eyes. Of these 118 eyes, 44.9% developed complete HRM-BR and had similar BCVA outcomes by month 9 compared with no/fully resolved subretinal HRM. Partial/absent HRM-BR had a strong negative association with BCVA outcome (-6.1 ETDRS letters; P = 0.016) and a higher frequency of intralesional HTC (69.2%) compared with eyes with complete HRM-BR (20.8%) at month 9. Older age (odds ratio [OR], 0.96; P = 0.054) and presence of intralesional HTC (OR, 0.06; P = 0.010) at baseline were associated with lower odds of complete HRM-BR at month 9.In nAMD eyes under antiangiogenic treatment, complete HRM-BR occurred frequently and was associated with better BCVA than when HRM-BR was only partial/absent.Proprietary or commercial disclosure may be found in the Footnotes and Disclosures at the end of this article.",no,yes,no,human RCT,"effectiveness, biomarker",,retinal disease,4
2023-11-14,37562184,"Skeletal muscle quality, measured via phase angle, and cardiorespiratory fitness in patients with obesity and heart failure with preserved ejection fraction.","Cardiorespiratory fitness (CRF) is influenced by body composition quantity and quality in heart failure with preserved ejection fraction (HFpEF) and obesity. Bioelectrical impedance analysis (BIA) provides a noninvasive quantitative and qualitative body composition assessment. The aim of this study was to determine the role of phase angle (PhA), a BIA-measure of skeletal muscle quality and body cell mass, on CRF in patients with obesity and HFpEF.Fifty-nine consecutive outpatients with HFpEF underwent cardiopulmonary exercise testing to measure CRF. Single-frequency segmental BIA was used to measure PhA and body composition quantity. Resting Doppler echocardiography and biomarkers were measured to assess cardiac function and systemic inflammation.Compared with patients with lower PhA, patients with higher PhA (above mean 5.8°) presented a greater absolute peak oxygen consumption (VO2; 1.83 [1.3-2.1] versus 1.39 [1.1-1.6] L/min, P = 0.003), VO2 peak adjusted for body weight (17.5 [12.3-18.1] versus 13.3 [12.7-15.2] mL/kg/min, P = 0.040), and a lower edema index (48.7 [2.9] versus 51.4% [2.7], P < 0.001) and N-terminal pro-B-type natriuretic peptide (NT-proBNP; 64 [50-121] versus 183 [68-343.5] pg/dL, P < 0.001). In the overall sample, PhA was correlated with absolute VO2 peak (r = 0.468, P < 0.001), VO2 peak adjusted for body weight (r = 0.368, P = 0.004), VO2 peak adjusted for fat-free mass (r = 0.315, P = 0.015), edema index (r = -0.508, P < 0.001), and NT-proBNP (r = -0.579, P < 0.001). PhA remained a significant predictor for CRF even after adjustment for potential confounders and HFpEF severity.In patients with obesity and HFpEF, a greater PhA is an independent predictor for favorable CRF.",no,yes,no,human non-RCT,"effectiveness, biomarker",,retinal disease,4
2023-11-14,37659030,"Incidence of Inflammatory Bowel Disease in New Zealand Remains High, Findings in the Manawatū Region.","New Zealand (NZ) has one of the world's highest rates of inflammatory bowel diseases (IBD), however available data are limited to southern, urban regions.To determine the incidence and prevalence of IBD in the Manawatū region of NZ.Patients in the Manawatū region, with a diagnosis of IBD made between 2011 and 2015 were identified. Demographic, diagnostic and disease data were collected, fulfilment of diagnostic criteria was assessed, and incidence rates were calculated. Comparison of disease phenotype and observed diagnostic criteria was made between diagnosis and 12-months following diagnosis. All resident patients with a diagnosis of IBD current on 5 March 2013 were identified, and prevalence rates were calculated.The mean annual age-standardised incidence rates of UC, CD, and IBD were 10.2, 17.0, and 27.2 per 100,000. IBD incidence was highest among those of European ethnicity (24.8 per 100,000), followed by Asian (1.4), and Māori (1.1). IBD incidence in the urban population was 34.0 per 100,000 (95% CI 24.1-46.0) compared to the rural population of 5.6 (95% CI 0.4-22.4). The age-standardised point prevalence of UC, CD, and IBD on 5 March 2013 was 157.7, 231.8, and 397.9 per 100,000, respectively.The incidence and prevalence of IBD in the Manawatū region are comparable to those reported in other Australasian studies. Incidence was lower in Māori, and in the rural population. Follow-up is required to identify any changes in incidence and phenotype, and whether rural residence remains protective.",no,yes,no,human non-RCT,"effectiveness, safety, biomarker",,"ulcerative colitis, crohn's disease",4
2023-11-14,37795854,Growth hormone use in pediatric inflammatory bowel disease.,"Impaired linear growth is a known complication of pediatric inflammatory bowel disease (IBD), but the use of growth hormone (GH) in this population is not well-described. The primary aim of this study is to determine whether growth hormone use in pediatric IBD leads to improved height outcomes.This was a retrospective chart review of patients with IBD aged 0-21 years followed at a single center between 2018 and 2021 treated with at least 1 year of GH. Records collected included demographics, IBD phenotype, IBD disease activity scores, medications, weight z-score, height z-score, bone age, and details of GH therapy including testing for GH deficiency. The primary outcome measure was change in height z-score after 1 year of GH treatment.Forty-six patients were identified and 18 were excluded. Of the 28 patients included (7 female; 25.0 %), 26 (92.9 %) had a diagnosis of Crohn's disease (CD) and 2 (7.1 %) had ulcerative colitis (UC). The mean (SD) age at GH initiation was 9.6 (3.4) years. Among all participants, there was a significant mean difference in height z-score from baseline to 1 year on therapy (-2.25 vs. -1.50, respectively; difference, 0.75; 95 % CI, 0.56 to 0.94; p<0.001). Among the 19 subjects that completed GH therapy there was a significant mean difference between baseline and final height z-scores (-2.41 vs. -0.77, respectively; difference, 1.64; 95 % CI, 1.30 to 1.98; p<0.001).GH use was associated with improved height outcomes. The pediatric IBD patients in this cohort had significant improvements in height z-scores both after one year on therapy and at completion of GH therapy.",no,yes,no,human non-RCT,effectiveness,,"crohn's disease, ulcerative colitis",4
2023-11-14,37953270,Retinal layers changes in patients with age-related macular degeneration treated with intravitreal anti-VEGF agents.,"The purpose of this study was to investigate retinal layers changes in patients with age-related macular degeneration (AMD) treated with anti-vascular endothelial growth factor (anti-VEGF) agents and to evaluate if these changes may affect treatment response.This study included 496 patients with AMD or PCV who were treated with anti-VEGF agents and followed up for at least 6 months. A comprehensive analysis of retinal layers affecting visual acuity was conducted. To eliminate the fact that the average thickness calculated may lead to differences tending to converge towards the mean, we proposed that the retinal layer was divided into different regions and the thickness of the retinal layer was analyzed at the same time. The labeled data will be publicly available for further research.Compared to baseline, significant improvement in visual acuity was observed in patients at the 6-month follow-up. Statistically significant reduction in central retinal thickness and separate retinal layer thickness was also observed (p < 0.05). Among all retinal layers, the thickness of the external limiting membrane to retinal pigment epithelium/Bruch's membrane (ELM to RPE/BrM) showed the greatest reduction. Furthermore, the subregional assessment revealed that the ELM to RPE/BrM decreased greater than that of other layers in each region.Treatment with anti-VEGF agents effectively reduced retinal thickness in all separate retinal layers as well as the retina as a whole and anti-VEGF treatment may be more targeted at the edema site. These findings could have implications for the development of more precise and targeted therapies for AMD treatment.",no,yes,no,human non-RCT,effectiveness,,retinal disease,4
2023-11-15,36790041,"Upadacitinib Induction and Maintenance Therapy Improves Abdominal Pain, Bowel Urgency, and Fatigue in Patients With Ulcerative Colitis: A Post Hoc Analysis of Phase 3 Data.","This post hoc analysis of a large, phase 3 program evaluated the effects of upadacitinib on fatigue, bowel urgency, and abdominal pain in patients with moderately to severely active ulcerative colitis.Induction data were pooled from 2 identical studies, the U-ACHIEVE induction and U-ACCOMPLISH studies. Patients in these studies received upadacitinib 45 mg once daily or placebo as induction treatment. Responders to induction treatment were rerandomized in the U-ACHIEVE maintenance study to upadacitinib 15 mg once daily, upadacitinib 30 mg, or placebo. The percentage of patients reporting no abdominal pain and no bowel urgency daily via an electronic diary and a meaningful within-person change (≥5 points) in the Functional Assessment of Chronic Illness Therapy-Fatigue score were evaluated.The results demonstrated a statistically significantly greater percentage of patients reporting no abdominal pain and absence of bowel urgency observed from week 2 (P < .001), with upadacitinib induction treatment and clinically meaningful improvements in Functional Assessment of Chronic Illness Therapy-Fatigue score observed at week 8 (P < .001), when compared with placebo. The maintenance study showed that significant and meaningful improvements in abdominal pain, bowel urgency, and Functional Assessment of Chronic Illness Therapy-Fatigue score achieved during induction were sustained through 52 weeks of maintenance treatment in upadacitinib- vs placebo-treated patients.The findings of this study support the additional benefit of upadacitinib in treating moderately to severely active ulcerative colitis by demonstrating a statistically significant impact on clinically meaningful symptoms of fatigue, bowel urgency, and abdominal pain.(U-ACHIEVE induction and maintenance studies; NCT02819635; U-ACCOMPLISH induction study; NCT03653026).",no,yes,no,human RCT,effectiveness,,ulcerative colitis,4
2023-11-15,37857254,Azathioprine dose tailoring based on pharmacogenetic information: Insights of clinical implementation.,"Azathioprine is commonly used as an immunosuppressive antimetabolite in the treatment of acute lymphoblastic leukemia, autoimmune disorders (such as Crohn's disease and rheumatoid arthritis), and in patients receiving organ transplants. Thiopurine-S-methyltransferase (TPMT) is a cytoplasmic trans-methylase catalyzing the S-methylation of thiopurines. The active metabolites obtained from thiopurines are hydrolyzed into inactive forms by the Nudix hydrolase 15 (NUDT15). The TPMT*2 (defined by rs1800462), *3A (defined by rs1800460 and rs1142345), *3B (defined by rs1800460), *3C (defined by rs1142345), *6 (defined by rs75543815), and NUDT15 rs116855232 genetic variant have been associated, with the highest level of evidence, with the response to azathioprine, and, the approved drug label for azathioprine and main pharmacogenetic dosing guidelines recommend starting with reduced initial doses in TPMT intermediate metabolizer (IM) patients and considering an alternative treatment in TPMT poor metabolizer (PM) patients. This study aims to assess the clinical impact of azathioprine dose tailoring based on TPMT genotyping studying the azathioprine toxicity and efficacy, treatment starts, and dose adjustments during follow-up, comparing TPMT IM/PM and normal metabolizer (NM) patients. It also studied the association of NUDT15 rs116855232 with response to azathioprine in patients receiving a tailored treatment based on TPMT and characterized the TMPT and NUDT15 studied variants in our population. Results show that azathioprine dose reduction in TPMT IM patients (TPMT*1/*2, *1/*3A, or *1/*3C genotypes) is related to lower toxicity events compared to TPMT NM (TPMT *1/*1 genotype), and lower azathioprine dose adjustments during follow-up without showing differences in the efficacy. The results support the hypothesis of existing other genetic variants affecting azathioprine toxicity.",no,yes,no,human non-RCT,"effectiveness, safety",,crohn's disease,4
2023-11-15,37934499,Differences in Cerebral Tissue Oxygenation in Preterm Neonates Receiving Adult or Cord Blood Red Blood Cell Transfusions.,"Repeated transfusions in preterm neonates with anemia of prematurity replace fetal hemoglobin (HbF) with adult Hb (HbA), which has a low oxygen affinity. The reduction of HbF is associated with a higher incidence of retinopathy of prematurity (ROP).To assess whether HbF and HbA are differently associated with cerebral tissue oxygenation in preterm neonates.This cohort study was a single-center, pilot study on cerebral oxygenation kinetics in preterm neonates with a gestational age between 24.0 weeks and 27.9 weeks who were admitted to the neonatal intensive care unit of Policlinico Universitario A. Gemelli IRCCS from December 27, 2021, to May 15, 2023. This study was ancillary to the ongoing, double-blind, multicenter Umbilical or Adult Donor Red Blood Cells in Extremely Low Gestational Age Neonates and Retinopathy of Prematurity (BORN) randomized clinical trial. The BORN trial outcome was ROP severity in neonates randomized to receive standard packed red blood cell (PRBC) transfusions obtained from RBCs of adult donors (A-RBCs) or from cord blood (CB-RBCs). According to standard procedures at the institute's neonatal intensive care unit, patients concurrently received continuous cerebral near-infrared spectroscopy (NIRS) monitoring. This cohort study was not prespecified in the trial protocol.Transfusion with A-RBCs or CB-RBCs.The main outcome was the kinetics of cerebral regional oxygen saturation (crSO2) and cerebral fraction of tissue oxygen extraction (cFTOE) associated with A-RBC or CB-RBC transfusions. Cerebral NIRS monitoring was performed by neonatologists and nurses, who were blinded to the PRBC type. The NIRS monitoring was conducted starting with the blood product order, during transfusion, and for the subsequent 24 hours after transfusion completion. The mean treatment effects of A-RBCs or CB-RBCs were quantified using a linear mixed model for repeated measures.Of 23 randomized neonates, 17 (11 male [64.7%]; median gestational age at birth, 25.6 weeks [IQR, 25.3-26.1 weeks]) with a median birth weight of 840 g (IQR, 580-900 g) were included in the study; NIRS was evaluated for 42 transfusion episodes, of which 22 were A-RBCs and 20 were CB-RBCs. Globally considering all posttransfusion time points, the overall crSO2 covariate-adjusted mean after CB-RBC transfusions was 5.27% lower (95% CI, 1.20%-9.34%; P = .01) than that after A-RBC transfusions, while the cFTOE after CB-RBC transfusions was 6.18% higher (95% CI, 1.66%-10.69%; P = .009) than that after A-RBCs.The findings of this cohort study suggest that A-RBC transfusions may be associated with more oxygen delivery to cerebral tissues of preterm neonates than transfusions from CB-RBCs. This finding may explain the previously observed association between low HbF and high ROP risk. It also suggests that use of CB to meet the RBC transfusion needs of neonates with a gestational age of less than 28 weeks may protect cerebral tissues from overexposure to oxygen.",no,yes,no,human non-RCT,"effectiveness, safety",,retinopathy,4
2023-11-15,37935760,Efficacy and safety of platelet-rich plasma and autologous-serum eye drops for dry eye in primary Sjögren's syndrome: a randomized trial.,"We compared the efficacy and safety of autologous-serum (AS) and platelet-rich plasma (PRP) eye drops for dry eye (DE) treatment in primary Sjögren's syndrome (SS). This prospective, randomized, double-blinded clinical study included patients diagnosed with primary SS DE. Thirty-eight participants were randomly assigned to the AS or PRP groups. Corneal and conjunctival staining scores, Schirmer I test, tear film break-up time (TBUT), and ocular surface disease index (OSDI) scores were evaluated at 4 and 12 weeks. Conjunctival impression cytology (CIC) metaplasia grade and goblet cell density grade at 12 weeks were compared with those at baseline. Corneal and conjunctival staining scores and TBUT significantly improved at 4 and 12 weeks in both groups (all p < 0.005). No significant difference between the AS and PRP groups was observed at 4 and 12 weeks. The Schirmer I values, OSDI scores, CIC metaplasia grade, and goblet cell density grade did not significantly change at 4 and 12 weeks in either group. Both AS and PRP eye drops are effective for primary SS DE without a significant difference. Considering that the preparation time of PRP is shorter than that of AS, PRP can be a good alternative treatment for primary SS DE.",no,yes,no,human RCT,"effectiveness, safety",,dry eye,4
2023-11-15,37956319,Impact of Dyslipidemia Medications on the Prevalence of Diabetic Retinopathy Among a Large US Cohort.,"Dyslipidemia medications such as statins and fibrates may be associated with a reduction in diabetic retinopathy (DR) progression, but real-world data is lacking. This study evaluates cholesterol-lowering medications and their association with the prevalence of DR and advanced DR complications.Data was collected using codes from the International Classification of Diseases on TriNetX, a cross-sectional database of over 79 million Americans, between June and August 2022. Prevalence and prevalence odds ratios (POR) were calculated.Patients taking pitavastatin (OR 0.64, 95% CI 0.49, 0.84), fenofibrate (OR 0.83, CI 0.79, 0.87), or evolocumab (OR 0.80, CI 0.68, 0.95) had lower POR of proliferative DR compared to nonproliferative DR. Patients taking any cholesterol medication had a lower POR of vitreous hemorrhage. Patients taking fibrates also had lower POR of neovascular glaucoma.This exploratory study highlights positive associations between DR and dyslipidemia and medications that may have fewer worsening events in DR patients. [Ophthalmic Surg Lasers Imaging Retina 2023;54:626-633.].",no,yes,no,human non-RCT,effectiveness,,retinopathy,4
2023-11-15,37957641,Non-contact meibography changes according to disease activity in rheumatoid arthritis cases.,"To measure dry eye disease (DED) activity in rheumatoid arthritis (RA) patients, correlate it with the activity and duration of RA, and objectively measure the degree extent of DED in RA active cases.The paper studied the meibomian gland of 30 RA cases referred by the Rheumatology Department, Sohag University Hospitals to Sohag Cornea and Refractive Center, Sohag, Egypt, by infrared non-contact meibography in the Scheimpflug topographer (Sirius, CSO, Italy) from July 2021 to July 2022. The cases fulfilled the RA classification criteria according to the 2010 American College of Rheumatology and European League and underwent full lab investigations. They were distributed to two groups based on the DAS-28 questionnaire. The patients were distributed into low to moderate activity (3.2 < score <  = 5.1) and high activity groups (score > 5.1).This study included 60 eyes of 30 RA patients. They scored a mean age of (44 ± 10 years), number of swollen joints (3 ± 3), number of tender joints (5 ± 3), duration of disease (8 ± 4), activity of the disease measured by DAS-28 (4.4 ± 0.9), and sex (males were 9.7% vs females 90.3%). The number of swollen joints, tender joints, ESR and DAS-28 were more in the high activity group with the p-value of (0.018, 0.001, < 0.003 and < 0.004), respectively. There are no statistically significant differences between both groups as regards disease duration (p-value of 3.8). The high activity group showed significant affection regarding the mebioscore of the lower and upper lids, total mebioscore, percentage of meibomian glands in upper and lower lids, first non-invasive break-up time test (NIV-BUT) of the tear film, as well as average non-invasive break-up time test (NIavg-BUT). There were moderate correlations between the activity of the disease represented by (DAS-28) and different parameters evaluating eye dryness (meiboscore of the lower and upper lids, total meiboscore, percentage of meibomian glands in upper and lower lids, NIV-BUT of the tear film, and NIavg-BUT of the tear film).There was no correlation with duration of RA but moderate correlations between the activity of the disease represented by (DAS-28) and different parameters evaluating eye dryness in RA patients with valuable use of noncontact Meibography to evaluate eye dryness in RA cases. Both Meiboscore and Meiboscale of Non-contact Meibography were found to be useful tools in grading of dry eye disease in different activity grades of Rheumatoid Arthritis.",no,yes,no,human non-RCT,"effectiveness, biomarker",,dry eye,4
2023-11-15,37962000,"A randomized, double-blind phase 1b study evaluating the safety, tolerability, pharmacokinetics and pharmacodynamics of the NLRP3 inhibitor selnoflast in patients with moderate to severe active ulcerative colitis.","The NLRP3 inflammasome drives release of pro-inflammatory cytokines including interleukin (IL)-1β and IL-18 and is a potential target for ulcerative colitis (UC). Selnoflast (RO7486967) is an orally active, potent, selective and reversible small molecule NLRP3 inhibitor. We conducted a randomized, placebo-controlled Phase 1b study to assess the safety, tolerability, pharmacokinetics (PK) and pharmacodynamics (PD) of selnoflast.Nineteen adults with previous diagnosis of UC and current active moderate to severe disease were randomized 2:1 to selnoflast or placebo for 7 days. A dose of 450 mg QD (once daily) was selected to achieve 90% IL-1β inhibition in plasma and colon tissue. Consecutive blood, sigmoid colon biopsies and stool samples were analyzed for a variety of PD markers. Safety and PK were also evaluated.Selnoflast was well-tolerated. Plasma concentrations increased rapidly after oral administration, reaching Tmax 1 h post-dose. Mean plasma concentrations stayed above the IL-1β IC90 level throughout the dosing interval (mean Ctrough on Day 1 and Day 5: 2.55 μg/mL and 2.66 μg/mL, respectively). At steady state, post-dose selnoflast concentrations in sigmoid colon (5-20 μg/g) were above the IC90 . Production of IL-1β was reduced in whole blood following ex vivo stimulation with lipopolysaccharide (LPS) (in the selnoflast arm). No changes were observed in plasma IL-18 levels. There were no meaningful differences in the expression of an IL-1-related gene signature in sigmoid colon tissue, and no differences in the expression of stool biomarkers.Selnoflast was safe and well-tolerated. Selnoflast 450 mg QD achieved plasma and tissue exposure predicted to maintain IL-1β IC90 over the dosing interval. However, PD biomarker results showed no robust differences between treatment arms, suggesting no major therapeutic effects are to be expected in UC. The limitations of this study are its small sample size and indirect assessment of the effect on IL-1β in tissue.ISRCTN16847938.",no,yes,no,human RCT,"safety, bio marker",,ulcerative colitis,4
2023-11-15,37962770,Qualitative and psychometric evaluation of the PROMIS®-Fatigue SF-7a scale to assess fatigue in patients with moderately to severely active inflammatory bowel disease.,"This study evaluated the content validity and psychometric properties of the Patient-Reported Outcomes Measurement Information System® (PROMIS)-Fatigue Short Form 7a (SF-7a) v1.0 scale to determine its suitability in clinical trials to assess fatigue in patients with moderately to severely active Crohn's disease (CD) and ulcerative colitis (UC).A qualitative interview assessed patients' experience living with CD (N = 20) and UC (N = 19). The contents of the SF-7a scale were cognitively debriefed to evaluate content validity. A psychometric evaluation was performed using data from clinical trials of patients with CD (N = 360) and UC (N = 214). Correlations with Inflammatory Bowel Disease Questionnaire (IBDQ), Crohn's Disease Activity Index (CDAI; CD only), and Mayo score (UC only) determined validity. The Patient Global Impression of Change (PGIC) was used to evaluate reliability and responsiveness to change. Using PGIC as an anchor, a preliminary threshold for clinically meaningful change was identified to define fatigue response in both CD and UC patients.All patients reported fatigue as a common symptom. Patients confirmed SF-7a items were relevant to assessing fatigue, instructions and response options were clear, and its 7-day recall period was appropriate. Higher SF-7a scores were associated with higher disease activity (CDAI and Mayo score) and lower health-related quality of life (IBDQ), confirming known groups validity. The correlation of the SF-7a scale was higher with fatigue-related items. (rs ≥ -0.70) than with items not directly associated with fatigue. Test-retest reliability was moderate to good (0.54-0.89) among patients with stable disease, and responsiveness to change in disease severity was demonstrated from baseline to Week 12. A ≥7point decrease was identified as a reasonable threshold to define clinically meaningful improvement.The SF-7a scale is a valid, reliable, and sensitive measure of fatigue in patients with moderately to severely active IBD and can be used to evaluate treatment response.",no,yes,no,human non-RCT,"effectiveness, biomarker",,"crohn's disease, ulcerative colitis",4
2023-11-16,37604084,"Would, early, versus late hydroxocobalamin dose intensification treatment, prevent cognitive decline, macular degeneration and ocular disease, in 5 patients with early-onset cblC deficiency?","In early-onset (EO) cblC deficiency (MMACHC), hydroxocobalamin dose-intensification (OHCBL-DI) improved biochemical and clinical outcome. In mammals, Cobalamin is reduced, in a reaction mediated by MMACHC. Pathogenic variants in MMACHC disrupt the synthesis pathway of methyl-cobalamin (MetCbl) and 5'-deoxy-adenosyl-cobalamin (AdoCbl), cofactors for both methionine synthase (MS) and methyl-malonyl-CoA mutase (MCM) enzymes. In 5 patients (pts.), with EO cblC deficiency, biochemical and clinical responses were studied following OHCbl-DI (mean ± SD 6,5 ± 3,3 mg/kg/day), given early, before age 5 months (pts. 1, 2, 3 and 4) or lately, at age 5 years (pt. 5). In all pts., total homocysteine (tHcy), methyl-malonic acid (MMA) and Cob(III)alamin levels were measured. Follow-up was performed during 74/12 years (pts. 1, 2, 3), 33/12 years (pt. 4) and 34/12 years (pt. 5). OHCbl was delivered intravenously or subcutaneously. Mean ± SD serum Cob(III)alamin levels were 42,2 × 106 ± 28, 0 × 106 pg/ml (normal: 200-900 pg/ml). In all pts., biomarkers were well controlled. All pts., except pt. 5, who had poor vision, had central vision, mild to moderate nystagmus, and with peri-foveolar irregularity in pts. 1, 2 and 4, yet none had the classic bulls' eye maculopathy and retinal degeneration characteristic of pts. with EO cblC deficiency. Only pt. 5, had severe cognitive deficiency. Both visual and cognitive functions were better preserved with early than with late OHCBL-DI. OHCBL-DI is suggested to bypass MMACHC, subsequently to be rescued by methionine synthase reductase (MSR) and adenosyl-transferase (ATR) to obtain Cob(I)alamin resulting in improved cognitive and retinal function in pts. with EO cblC deficiency.",no,yes,no,human non-RCT,"effectiveness, biomarker",,retinal disease,4
